,0,1
0,r1,9.01e-04
1,r2,3.05e-04
2,k01_il1b,3.89e-02
3,k10_il1b,7.62e-03
4,k12a_il1b,3.93e-05
5,k12b_il1b,9.60e-03
6,k21_il1b,8.37e-03
7,alpha0_il1b,1.09e-04
8,alpha1_il1b,1.64e-05
9,alpha2_il1b,9.99e-01
10,gamma_il1b,5.67e-05
11,k12b_il1b_MG,2.83e-03
12,k01_il1b_U0126,8.01e-03
13,k01a_tnfa,1.21e-04
14,k01b_tnfa,2.27e-02
15,k10_tnfa,4.67e-02
16,k12_tnfa,8.19e-03
17,k21_tnfa,3.98e-03
18,alpha0_tnfa,3.61e-05
19,alpha1_tnfa,6.24e-01
20,alpha2_tnfa,5.39e-01
21,gamma_tnfa,2.29e-04
22,k01b_tnfa_MG,7.80e-03
23,k01a_tnfa_U0126,1.00e-04
